model,query_id,category,query,response,inference_time_seconds,tokens_out,tokens_per_second,rouge_l,semantic_similarity
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1,Security,I lost my credit card. What should I do immediately?,"Immediately after losing your credit card, do the following:

1. Contact your bank: Visit your bank's website and login to your account. Click on ""Account"" and then ""Debit/Credit Cards"" to access your card details. There, you can check the status of your card, and if it's lost, you will be asked to provide your new card details.

2. Check with your bank: Contact your bank immediately. Ask them to issue a replacement card or a credit to your account. Provide them with your account number, birth date, and PIN.

3. Check for replacement cards: Check with your bank if they have issued a replacement card. You",10.1722,150,14.75,0.12598425196850396,0.6116846203804016
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2,Accounts,What is the difference between a savings account and a checking account?,"A savings account and a checking account are two types of bank accounts, but they have some key differences:

1. Purpose: A savings account is used to save money for specific purposes such as buying a house, paying for college, or saving for a rainy day. A checking account, on the other hand, is used for everyday transactions, such as paying bills, withdrawing money, and making deposits.

2. Fees: Savings accounts generally have lower fees than checking accounts. For example, savings accounts often offer no or low monthly fees, while checking accounts may charge a maintenance fee or a monthly fee.

3. Interest Rates:",8.6418,150,17.36,0.21138211382113822,0.8988090753555298
TinyLlama/TinyLlama-1.1B-Chat-v1.0,3,Loans,How can I apply for a mortgage?,"I don't have the specific information about the mortgage application process at a particular bank. However, the general process for applying for a mortgage may vary depending on the bank and the lender. Here are some steps you can follow to get started:

1. Start by contacting your bank or lender directly. They will assist you in the application process, and they will provide you with all the necessary information and documents.

2. Provide personal information, such as your name, address, employment information, and credit score, as required by the bank or lender.

3. Discuss your financial situation and explain your reasons for applying for a mortgage.

4. Answer",8.6794,150,17.28,0.078125,0.5790339112281799
TinyLlama/TinyLlama-1.1B-Chat-v1.0,4,Digital Banking,I forgot my online banking password.,"If you forgot your online banking password, you can reset it through your bank's website or app. Some common steps to follow are:

1. Go to your bank's website or app and sign in to your account.

2. Click on the ""Forgot Password"" or ""Reset Password"" link on the login page.

3. Enter your email address or phone number and click on ""Forgot Password"" or ""Request Password Reset"".

4. Your bank will send you an email with a link to reset your password.

5. Follow the link to reset your password.

6. Your new password will be sent to your email or phone number.",8.7334,150,17.18,0.25396825396825395,0.6795741319656372
TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,Fees,Why was I charged an overdraft fee?,"I do not have access to your specific bank account history, but overdraft fees are charged to customers when their account(s) exceed the available balance. In your case, you likely had some transactions that went through which did not fit into your account balance, and your account was overdrawn. When this happens, your account may be charged an overdraft fee. The exact amount of the fee can vary depending on the bank policy, and you should always refer to the bank's terms and conditions for your specific account.",6.1632,110,17.85,0.22429906542056074,0.8065522909164429
TinyLlama/TinyLlama-1.1B-Chat-v1.0,6,Accounts,How do I open a joint account?,"To open a joint account with your spouse, partner, or friend, follow these steps:

1. Contact the bank or financial institution that offers joint account services.
2. Bring proof of your relationship, such as a marriage certificate or a court order.
3. Provide your name, your spouse's name, and any other names under which you want to open the account.
4. If you want to jointly manage the account, provide proof that you know each other's financial needs and preferences.
5. Explain your shared goals and responsibilities for the account, and agree on the account rules and terms.
6. Once you have submitted your information, the bank or financial",8.6077,150,17.43,0.14705882352941177,0.7590126395225525
TinyLlama/TinyLlama-1.1B-Chat-v1.0,7,Accounts,Is there a minimum balance requirement for checking accounts?,"Yes, there is a minimum balance requirement for checking accounts. The bank's minimum balance requirement varies depending on the type of account and the bank's policy. However, the typical minimum balance requirement for an online or mobile account is typically less than $100. For instance, a checking account at a major bank may have a minimum balance requirement of $100 or less. Keep in mind that the minimum balance requirement may vary by state and by the specific bank. It's always a good idea to check with the bank's website or contact customer service to ensure that you meet their minimum balance requirements.",7.2668,128,17.61,0.14285714285714285,0.7655136585235596
TinyLlama/TinyLlama-1.1B-Chat-v1.0,8,Accounts,Can I have multiple savings accounts?,"Yes, you can have more than one savings account with a bank. The number of savings accounts you can have depends on the type of account you choose and the bank's policies. Some banks may have restrictions on the number of accounts you can have, such as a maximum number of accounts per customer, or minimum balance requirements. Be sure to check with your bank before opening any new accounts to ensure you meet their requirements and to avoid any potential complications.",5.2812,95,17.99,0.125,0.6846515536308289
TinyLlama/TinyLlama-1.1B-Chat-v1.0,9,Accounts,How do I close my account?,"To close your account with a bank, you will need to follow these steps:

1. Contact the bank directly and provide them with the following information:
   - Your account number
   - Your full name
   - Your address
   - Your date of birth

2. The bank representative will ask you several questions to confirm your identity.

3. Once you have provided the necessary information, the bank representative will verify your identity and confirm that you are the owner of the account.

4. After verifying your identity, the bank representative will close your account. You will receive a confirmation email or letter from the bank.

5. You will no longer be able to access your account, and",8.5511,150,17.54,0.12307692307692307,0.7173354625701904
TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,Accounts,What documents do I need to open a student account?,"To open a student account, the following documents are typically required:

1. Proof of Residency: You will need to provide proof of residency, such as a utility bill, lease agreement, or bank statement, to establish your student status.

2. Financial Information: You will need to provide financial information such as your income, expenses, and any financial aid you may be receiving.

3. Signed Agreement: You will need to sign a student agreement that includes details about the fees and services available to you.

4. Documents for Payment: You will need to provide documents to establish your financial eligibility for student loans, scholarships, or",8.7787,150,17.09,0.128,0.8028097748756409
